SQUARE_FT,TARGET(PRICE_IN_LACS)
5924.170616,700
5918.1325,720
5900.0531,1000
5894.736842,280
5873.586394,670
5866.666667,220
5846.612404,510
5840.071878,65
5803.613217,620
5800.464037,500
5800.334635,520
5777.777778,130
5764.075067,43
5714.285714,300
5705.655311,340
5705.655311,340
5699.577128,310
5670.578927,430
5655.042413,540
5635.566688,450
5600.244374,550
5600,490
5575.344587,360
5555.555556,550
5500.146671,1500
5500.146671,750
5500.045834,2400
5499.901787,1400
5480.202768,800
5464.868701,770
5460.268517,850
5450.060238,1900
5449.888277,1000
5407.493241,140
5400.016615,2600
5399.568035,400
5382.131324,700
5356.834284,620
5354.900657,1450
5300.259713,1000
5300,1060
5299.954894,470
5284.194838,780
5267.423015,520
5263.157895,900
5262.40933,370
5261.640479,730
5250.032813,800
5250.032813,2000
5250.032813,2000
5230.62292,330
5210.959825,310
5200.945626,110
5200.126064,1650
5194.805195,400
5157.894737,490
5155.661313,520
5111.111111,460
5092.297899,720
5092.00324,440
5081.300813,500
5043.646945,520
5042.179773,520
5025.125628,650
5000,85
5000,550
5000,700
5000,550
5000,200
5000,380
5000,3000
5000,1800
5000,5500
5000,35
4995.004995,600
4995.004995,600
4975.124378,450
4960,620
4952.380952,520
4950.49505,20
4930.237144,1000
4926.622006,1890
4909.090909,270
4906.264525,950
4903.964038,480
4900.959771,240
4900.245012,280
4888.888889,440
4888.888889,220
4858.299595,300
4824.561404,110
4815.022871,600
4800,4500
4800,390
4787.552364,480
4769.230769,310
4761.904762,210
4738.675958,340
4700.229789,450
4700.185159,330
4678.102027,420
4667.444574,520
4666.666667,210
4656.390495,290
4655.803126,420
4651.162791,160
4640.012373,600
4623.513871,210
4613.671316,870
4612.850082,140
4601.226994,150
4600.345026,400
4600.295113,530
4600.022439,410
4599.816007,950
4599.715256,420
4588.659456,140
4587.155963,60
4578.507945,340
4570.848146,180
4560.824094,580
4556.207833,520
4544.846946,340
4544.716767,280
4536.793394,500
4533.333333,340
4529.370134,320
4510.800508,710
4500.450045,200
4500.450045,100
4500.450045,100
4500.211775,850
4500.16072,280
4500.112503,1200
4500.102859,1750
4500,1800
4500,27
4500,90
